codigo_municipio_4d,Departamento,Municipio,maga_department,maga_municipality,mapped_area_ha,agricultural_land_ha,maize_bean_ha,A,total,agricultural_share_pct,agricultural_land_share_of_mapped_pct,maize_bean_share_of_agricultural_land_pct,ag_workers_per_100_agricultural_ha,historical_mean_may_aug_mm,historical_sd_may_aug_mm,rain_2026_may_aug_mm,rainfall_z_score_vs_1981_2025,z_2015_common,z_2026_common,impact_composite,impact_composite_2015
0711,Sololá,Santa Catarina Palopó,Sololá,Santa Catarina Palopó,499.899231968305,128.08205562668002,109.06088294927,200,1267,15.785319652722968,25.621574796658372,85.14922907479647,156.14989861104257,755.7059488544892,152.48686043079613,353.8461151123047,-2.635373517474724,-1.5454516497077948,-2.635373517474724,411.51330755590476,241.32211841014063
1202,San Marcos,San Pedro Sacatepéquez,San Marcos,San Pedro Sacatepéquez,7732.759204158615,2848.917691668313,669.9273761653664,5607,28182,19.895678092399404,36.842188104553784,23.51515377662806,196.81158274237703,955.4579343304346,156.03531522301358,636.0630037093622,-2.046940015884077,-1.1018098929405962,-2.046940015884077,402.86150430485156,216.84894891084772
0405,Chimaltenango,Santa Apolonia,Chimaltenango,Santa Apolonia,4611.497979942524,1900.659775922316,222.756155467101,2929,5644,51.89581856839121,41.21566970622429,11.719938428170613,154.10438191541516,661.7249161806004,134.54131993168744,315.98459542583936,-2.5697705428362725,-1.357413047730138,-2.5697705428362725,396.0129011682247,209.18329872437286
1102,Retalhuleu,San Sebastián,Retalhuleu,San Sebastián,1773.0000001551186,1182.3852510559689,36.97798356716,1641,10730,15.293569431500465,66.68839542879428,3.1274056855949084,138.7872521696672,1771.16158802208,291.58789772176715,973.6947762849323,-2.734910529442101,-1.3503448527672124,-2.734910529442101,379.5707173111589,187.41065159701523
0415,Chimaltenango,Zaragoza,Chimaltenango,Zaragoza,5188.259556920008,2395.4011988407296,915.404016574752,3299,8934,36.9263487799418,46.169648464209665,38.21506046743935,137.72223215036266,721.3780456783431,141.0502285495799,334.2033243454258,-2.7449421763738817,-1.2522846812260782,-2.7449421763738817,378.03956365388547,172.46744158616085
1225,San Marcos,San Cristóbal Cucho,San Marcos,San Cristóbal Cucho,2968.777114064692,1506.666491183405,494.07923800768003,2311,4019,57.50186613585469,50.75040777044247,32.792873598695856,153.384973617143,1513.1297375524675,229.6468442801039,964.5046386551028,-2.3889947219487944,-1.2010059187591662,-2.3889947219487944,366.43589239760973,184.2162611629073
0909,Quetzaltenango,San Juan Ostuncalco,Quetzaltenango,San Juan Ostuncalco,10900.470468677133,4672.378504644693,2931.80289025745,6427,15356,41.85334722584006,42.86400773316096,62.74754682958624,137.55306839142168,1458.561688766761,211.6562400828516,918.2159020940564,-2.5529404966335494,-1.2857107979623996,-2.5529404966335494,351.1647987326646,176.8534653237113
0701,Sololá,Sololá,Sololá,Sololá,15196.936660492653,6175.435583091668,3854.278242019401,8912,32078,27.782280690816137,40.63605528570699,62.41305880628741,144.3137067837132,796.1153602579475,172.49984365865305,385.1389290759969,-2.382474224122782,-1.510177289991112,-2.382474224122782,343.8236865998098,217.93928261919993
0406,Chimaltenango,Tecpán Guatemala,Chimaltenango,Tecpán Guatemala,24771.334236904546,9988.47973513761,4001.391589705595,12849,29167,44.05321082044777,40.322736109453025,40.0600661543062,128.6381946073296,704.4997923126705,140.01891200488507,333.64315559792163,-2.6486181859619804,-1.4545057690689762,-2.6486181859619804,340.71346164628955,187.10499617897858
0311,Sacatepéquez,Santa María De Jesús,Sacatepéquez,Santa María de Jesús,6099.999999638336,3355.459592761767,2237.454971169662,4049,8374,48.35204203486983,55.0075343108313,66.68102861367159,120.6690138285171,726.5518227355706,135.44881171951408,352.24300882925337,-2.763470636283113,-1.0894454185132716,-2.763470636283113,333.4652764243479,131.46230427199256
