municipality_id,department,municipality,corredor_seco_160,historical_mean_may_aug_mm,historical_median_may_aug_mm,historical_sd_may_aug_mm,historical_min_may_aug_mm,historical_max_may_aug_mm,historical_p10_may_aug_mm,historical_p20_may_aug_mm,historical_p80_may_aug_mm,historical_p90_may_aug_mm,rain_2026_may_aug_mm,rainfall_anomaly_pct_vs_historical_median,rainfall_historical_percentile,rainfall_z_score_vs_1981_2025,chirps_2026_status
508,Escuintla,Guanagazapa,0,1434.777751302957,1362.324178571676,270.2549364334725,1011.6334524814052,2512.4676876279395,1147.9774583116039,1191.4584258966922,1649.0786090294935,1677.6486951806467,806.1557114484605,-40.82497219614265,0.0,-2.326033515429391,FINAL
509,Escuintla,San José,1,1039.3040527679698,1012.6029206629689,228.08414060460757,695.4064113865899,1975.0866629731697,811.6470481046053,829.791523219034,1200.5916135791906,1252.9073388412291,565.4674602157846,-44.15703839313804,0.0,-2.0774640064676775,FINAL
510,Escuintla,Iztapa,1,1171.443438924166,1145.4522130362054,254.28708795826137,777.2199974092945,2266.222837115787,910.7629581152357,970.0265962897508,1362.6508727347027,1407.7620492528013,683.2989286869574,-40.34679745602275,0.0,-1.9196590521235295,FINAL
511,Escuintla,Palín,0,1229.6740875837374,1243.3611662532455,204.72369759478818,905.7293673863519,2065.4133538435567,1006.5832062346668,1059.8258921553522,1388.5051704188538,1413.342037369877,645.501282715391,-48.08416892570727,0.0,-2.853469391826861,FINAL
512,Escuintla,San Vicente Pacaya,1,1232.4522222820158,1206.0272486241754,199.66916006312087,917.5773698431759,2046.8586677370931,1019.6913721032101,1075.2543313297901,1391.1592864561349,1417.1285768554335,653.2834454726983,-45.83178396524971,0.0,-2.900642125334861,FINAL
513,Escuintla,Nueva Concepción,1,1106.7321636729432,1097.7618868056365,217.25214322216442,693.570067093062,1974.8286457381687,859.3619609214602,931.0334021574123,1247.033951794776,1304.3818252722913,509.11795584380184,-53.62218692750596,0.0,-2.7507862475631115,FINAL
514,Escuintla,Sipacate,1,962.9158757294643,959.1796008549356,200.26173540828188,602.009625160934,1779.7241300578391,758.7740560543269,783.2630640816692,1090.3745985283963,1157.8223604544432,450.9527147695404,-52.98558118129312,0.0,-2.556470210927532,FINAL
601,Santa Rosa,Cuilapa,0,1113.9389927404193,1077.8512685556866,201.64351815096526,805.4596034548043,1952.7375175420086,933.1402514119168,973.8457519749206,1268.9825227231354,1301.4454491616493,657.0373069447812,-39.041932211555796,0.0,-2.2658882863448535,FINAL
602,Santa Rosa,Barberena,0,1073.9200180336643,1040.7091634488445,187.26832031187345,806.7748298756281,1852.3725422172583,891.61868653304,944.6905687127011,1204.4955480426338,1288.4716053827938,594.7814309317347,-42.84844874809533,0.0,-2.558567227516007,FINAL
603,Santa Rosa,Santa Rosa De Lima,0,1098.9141519919353,1078.2279771281694,194.4955596021213,828.6755693399518,1868.1664023053172,885.3335833666864,926.2423300878792,1243.8650897257517,1294.5362333622443,610.8149104311834,-43.350114874771464,0.0,-2.5095649615819218,FINAL
604,Santa Rosa,Casillas,0,879.8319224739535,841.2382610618952,162.46157554480118,631.5147560323459,1496.6492351961435,714.8621186805182,734.9676415905354,989.4537339174769,1039.1501273675558,509.4305714523187,-39.44277203829692,0.0,-2.2799320379574377,FINAL
605,Santa Rosa,San Rafael Las Flores,0,874.5888859801289,842.3057234111576,169.53719373055472,629.0788082382984,1493.4896422356783,691.9073960759745,716.1026040572816,999.442893430802,1028.450181600929,521.7320986846535,-38.059058108764795,0.0,-2.0812942548540136,FINAL
606,Santa Rosa,Oratorio,0,1097.179722228,1083.9339115758314,206.10588344535773,681.8341421904771,1942.464517413374,883.493245040068,964.5764976923036,1235.8280479203502,1299.9269062444869,667.0776285697353,-38.45772131993428,0.0,-2.0868016306399726,FINAL
607,Santa Rosa,San Juan Tecuaco,0,1321.7291983875978,1291.9259401042132,262.39251357275003,854.1667152283965,2409.645240389558,1038.7540934222309,1111.0344709846572,1497.4129362314209,1611.852354942467,857.0470050003529,-33.66128983127166,2.2222222222222223,-1.7709430313392256,FINAL
608,Santa Rosa,Chiquimulilla,1,1136.347722109886,1117.0933130474318,236.27206974165833,733.8870608036128,2158.0075525641805,897.1045156367661,950.1290319158961,1314.342703344244,1391.7048116915616,709.8673860153586,-36.45406541027091,0.0,-1.8050391506742385,FINAL
609,Santa Rosa,Taxisco,1,1218.8835967082114,1180.7528605467542,249.6019689567457,834.5367661656044,2263.86241350623,962.2900003928667,986.7223846720929,1388.0932923703842,1486.054992527249,711.3702784953928,-39.75282192702131,0.0,-2.033290523845055,FINAL
610,Santa Rosa,Santa María Ixhuatán,0,1257.5784654709946,1219.6592407161627,239.94267394665326,846.39629119311,2233.8714447919715,1004.8866397419866,1071.4468023771078,1431.2523435368628,1493.7739372124524,782.8986144883045,-35.8100534679998,0.0,-1.9783052475618668,FINAL
611,Santa Rosa,Guazacapán,1,1183.321136964315,1160.7633202573302,245.8841681088363,788.8066134993821,2247.721115963054,924.2925744962862,978.4225767158433,1366.509025691378,1440.7782769377009,716.9086621695823,-38.23817055050892,0.0,-1.8968788368199592,FINAL
612,Santa Rosa,Santa Cruz Naranjo,0,977.6221615972705,953.5216198861901,174.95455960334098,728.4299036206821,1679.3934272873462,785.5697954978405,828.5510273670665,1098.9078081264197,1145.8338762950566,529.1321058729179,-44.507592189039855,0.0,-2.563465946478757,FINAL
613,Santa Rosa,Pueblo Nuevo Viñas,0,1220.0645940798386,1171.8592219042594,219.63665332072054,924.7344116471462,2126.649402657938,979.1758342395862,1038.649727633818,1389.5249172308902,1462.1860666327136,692.1255222849111,-40.93782688673012,0.0,-2.40369293473077,FINAL
614,Santa Rosa,Nueva Santa Rosa,0,977.5418471262175,948.0212431179954,176.83722384095813,738.9388582317688,1713.4907555124412,798.5120411849865,822.8387890022415,1111.6254321373717,1125.3526995594827,565.5499129832474,-40.34417297199149,0.0,-2.3297806038478797,FINAL
701,Sololá,Sololá,0,796.1153602579475,808.9586855901113,172.49984365865305,535.6100138376323,1422.5137340245255,587.7393551930732,647.339974123939,935.1346553790539,985.1986979816626,385.1389290759969,-52.39077891906809,0.0,-2.382474224122782,FINAL
702,Sololá,San José Chacayá,0,876.8463517075679,869.7415261038007,190.8287806304109,606.8363634271925,1615.6062389630445,655.4977752031248,696.0844057739725,1015.1843324139293,1077.0610708062288,417.76044464111334,-51.967287739776715,0.0,-2.4057477365303335,FINAL
703,Sololá,Santa María Visitación,0,1620.2366449444319,1607.7832549361335,313.89632724194166,1138.1816286570993,2836.794182853141,1276.755806839029,1349.5096694770787,1832.9466765830662,1948.5689062485849,808.1067004487878,-49.737833257823766,0.0,-2.5872553260863076,FINAL
704,Sololá,Santa Lucía Utatlán,0,947.1030120330585,931.7621563845473,198.13819272096447,642.7375696313721,1707.7498454066028,714.5182728961587,766.9642612582381,1080.5756782537915,1154.8689131740773,451.91902636515664,-51.4984566320329,0.0,-2.4991849318281774,FINAL
705,Sololá,Nahualá,0,1268.7054003297897,1220.6641676999955,237.9665454153107,883.029777704903,2177.1617948451867,1002.5282151963657,1068.049574669861,1448.7477644833427,1490.765945636456,640.7076467430601,-47.511554471997265,0.0,-2.6390169781668997,FINAL
706,Sololá,Santa Catarina Ixtahuacán,0,1543.316357577862,1491.9889628675273,292.45920878019774,1074.3649927839808,2672.1118749726934,1217.0865076285838,1292.0500165609938,1763.6725982767641,1827.107916494995,776.0946751605176,-47.98254581797289,0.0,-2.6233459552096434,FINAL
