municipality_id,department,municipality,year,rain_may_aug_mm,reference_start,reference_end,reference_n,historical_mean_mm,historical_sd_mm,rainfall_z_score_common,focal_data_status
1224,San Marcos,San José Ojetenam,2015,714.6764124175698,1981,2025,45,832.8239734117802,142.06001112946743,-0.8316736008596799,FINAL
1225,San Marcos,San Cristóbal Cucho,2015,1237.3225183476982,1981,2025,45,1513.1297375524675,229.6468442801039,-1.2010059187591662,FINAL
1226,San Marcos,Sipacapa,2015,446.31277383907434,1981,2025,45,570.1043087384637,115.92610126788149,-1.0678486858911305,FINAL
1227,San Marcos,Esquipulas Palo Gordo,2015,1078.7595812379905,1981,2025,45,1310.3300155819998,231.357394783401,-1.0009208245139851,FINAL
1228,San Marcos,Río Blanco,2015,531.0645182685812,1981,2025,45,645.5579737647502,121.98273394033974,-0.9386037826645721,FINAL
1229,San Marcos,San Lorenzo,2015,637.1768618570762,1981,2025,45,764.0278615971891,130.31942346786462,-0.9733852127683255,FINAL
1230,San Marcos,La Blanca,2015,710.5314575724905,1981,2025,45,864.4343147098331,201.31357652603222,-0.7644931841814512,FINAL
1301,Huehuetenango,Huehuetenango,2015,440.6187377046198,1981,2025,45,621.5438183170438,128.27658938570903,-1.4104294593334459,FINAL
1302,Huehuetenango,Chiantla,2015,605.6652776574463,1981,2025,45,891.2763632962749,188.99373367147157,-1.511219870047688,FINAL
1303,Huehuetenango,Malacatancito,2015,418.5662369518404,1981,2025,45,564.4264865242717,115.63487380786717,-1.2613863341502414,FINAL
1304,Huehuetenango,Cuilco,2015,430.82220385373984,1981,2025,45,579.058996104493,110.30683348187851,-1.3438586492930724,FINAL
1305,Huehuetenango,Nentón,2015,579.6792564561173,1981,2025,45,1094.3303065320538,271.0000385792641,-1.8990810952427504,FINAL
