codigo_municipio_4d,Departamento,Municipio,maga_department,maga_municipality,mapped_area_ha,agricultural_land_ha,maize_bean_ha,A,total,agricultural_share_pct,agricultural_land_share_of_mapped_pct,maize_bean_share_of_agricultural_land_pct,ag_workers_per_100_agricultural_ha
0513,Escuintla,Nueva Concepción,Escuintla,Nueva Concepción,52378.10026977142,48239.58438003959,797.12315555126,10978,23465,46.78457276795227,92.09876672041071,1.6524254215612415,22.757244161793484
0514,Escuintla,Sipacate,Escuintla,Sipacate,26954.698451455282,21482.573777486177,495.8030544133,1689,5339,31.63513766622963,79.6988095273102,2.307931347280667,7.862186428378887
0601,Santa Rosa,Cuilapa,Santa Rosa,Cuilapa,21363.084726092853,17742.745261937212,1941.75156345037,3531,14637,24.123795859807338,83.05329258122653,10.943918400361246,19.901091673648217
0602,Santa Rosa,Barberena,Santa Rosa,Barberena,22434.346091215506,17843.296538236697,1482.61225418341,3127,21242,14.72083607946521,79.53562125540846,8.309071426382987,17.524788613466686
0603,Santa Rosa,Santa Rosa De Lima,Santa Rosa,Santa Rosa de Lima,13400.716149637281,9898.653592561232,1378.326973519675,2314,6429,35.99315601182143,73.86660147136361,13.924388409303242,23.37691665196724
0604,Santa Rosa,Casillas,Santa Rosa,Casillas,20441.20078624978,14489.029254577883,2105.728641637317,4037,7337,55.02248875562219,70.88149764824112,14.53326240591309,27.862460134963765
0605,Santa Rosa,San Rafael Las Flores,Santa Rosa,San Rafael Las Flores,8510.814140074508,5787.664962217081,957.707686857773,1912,3708,51.56418554476807,68.00365825127058,16.54739334619162,33.035775437622604
0606,Santa Rosa,Oratorio,Santa Rosa,Oratorio,31020.65356701768,14084.8526603415,3808.08294384211,2978,7941,37.501574109054275,45.404757929784694,27.036725450202756,21.143281167470843
0607,Santa Rosa,San Juan Tecuaco,Santa Rosa,San Juan Tecuaco,3362.830907558107,2373.3975371282313,798.8063341956,1633,3115,52.42375601926164,70.57736777052686,33.65665977567928,68.80431846979587
0608,Santa Rosa,Chiquimulilla,Santa Rosa,Chiquimulilla,60009.4704951829,46614.386609695255,4381.548600178776,4922,17523,28.088797580323003,77.6783834702176,9.39956292220622,10.558971935450247
0609,Santa Rosa,Taxisco,Santa Rosa,Taxisco,63963.53829659848,40522.24137192746,1058.49144892894,3023,9528,31.727539882451723,63.35209472625812,2.6121246335160264,7.460100669787332
0610,Santa Rosa,Santa María Ixhuatán,Santa Rosa,Santa María Ixhuatán,16466.87924812374,11596.77862127087,420.5612526115,4326,7917,54.641909814323604,70.42487192946547,3.626535146925236,37.30346280875992
0611,Santa Rosa,Guazacapán,Santa Rosa,Guazacapán,10948.036065405657,8021.558671593852,468.14192733477,1515,6675,22.696629213483146,73.26938478893867,5.83604691433058,18.886603739058305
0612,Santa Rosa,Santa Cruz Naranjo,Santa Rosa,Santa Cruz Naranjo,5843.283218610447,4994.697605243585,491.206763596722,1870,5869,31.86232748338729,85.47758885511186,9.834564620709736,37.43970401805341
0613,Santa Rosa,Pueblo Nuevo Viñas,Santa Rosa,Pueblo Nuevo Viñas,25032.020023010668,18321.797216778028,1421.448711930544,3526,8702,40.519420822799354,73.19344263841164,7.758238425588864,19.24483694629638
0614,Santa Rosa,Nueva Santa Rosa,Santa Rosa,Nueva Santa Rosa,13196.12628521471,11396.195335239398,1183.234758661605,5349,12205,43.82630069643589,86.36015667725155,10.38271742326843,46.936717410062144
0701,Sololá,Sololá,Sololá,Sololá,15196.936660492653,6175.435583091668,3854.278242019401,8912,32078,27.782280690816137,40.63605528570699,62.41305880628741,144.3137067837132
0702,Sololá,San José Chacayá,Sololá,San José Chacayá,1599.677542836016,653.35158876051,347.89507270353,354,1353,26.164079822616408,40.84270556190996,53.247757974160685,54.182159512550115
0703,Sololá,Santa María Visitación,Sololá,Santa María Visitación,2099.576775081717,1027.61099715926,29.31595342488,182,753,24.169986719787516,48.94372091343335,2.852825972660994,17.710982122916448
0704,Sololá,Santa Lucía Utatlán,Sololá,Santa Lucía Utatlán,5098.972168661564,1900.8018496779498,1572.7031455645097,1556,6708,23.19618366129994,37.278137373652186,82.73893177402844,81.86018970171094
0705,Sololá,Nahualá,Sololá,Nahualá,18696.231286052414,8924.313065332264,3694.271986775375,8881,20155,44.063507814438104,47.733219218302544,41.39558932693978,99.51466219287488
0706,Sololá,Santa Catarina Ixtahuacán,Sololá,Santa Catarina Ixtahuacán,18996.170825134843,9872.544796242493,562.243018938792,6401,12370,51.746160064672594,51.97123613554582,5.6950161335584175,64.8363733172042
