rank_2026_C,codigo_municipio_4d,department,municipality,rainfall_2026_may_aug_mm,historical_median_rainfall_mm_1981_2025,historical_sd_rainfall_mm_1981_2025,z_2026_common_1981_2025,H_2026,agricultural_workers_ine_2018,total_workers_ine_2018,agricultural_dependence_pct,mapped_agricultural_land_ha_maga_2025,ag_workers_per_100_mapped_agricultural_ha,d_dependency_percentile,p_density_percentile,E_structural_exposure,C_impact_2026,z_2015_common_1981_2025,H_2015,C_impact_2015
67,1009,Suchitepéquez,San Pablo Jocopilas,883.2202658122195,1770.78620505947,337.1960968303216,-2.7569490389802707,2.7569490389802707,1919,6994,27.43780383185588,2406.13632272957,79.75441714886077,29.411764705882355,75.58823529411765,52.5,144.7398245464642,-1.6312080342739343,1.6312080342739343,85.63842179938155
68,2104,Jalapa,San Manuel Chaparrón,340.7425101132955,663.629270847391,141.22811189948516,-2.4447896770282,2.4447896770282,1587,2776,57.168587896253605,4873.223823600799,32.56571127134018,86.1764705882353,32.05882352941177,59.117647058823536,144.5302132596083,-2.2777697734913143,2.2777697734913143,134.65638955051594
69,1313,Huehuetenango,San Miguel Acatán,894.3435115136283,1398.6782284776134,336.31842243189243,-1.6760448801471617,1.6760448801471617,3087,4459,69.23076923076923,3822.7093393690698,80.75424328519581,95.2941176470588,76.17647058823529,85.73529411764704,143.6962007537934,-1.7054624828570444,1.7054624828570444,146.21832757436127
70,0309,Sacatepéquez,Santa Lucía Milpas Altas,324.51074494216965,663.2885101217321,132.8006168235905,-2.5991485838853987,2.5991485838853987,854,7000,12.2,310.431352603478,275.10107881752407,10.882352941176473,98.52941176470588,54.70588235294117,142.18871664784828,-1.224407213449113,1.224407213449113,66.98227697103971
71,2003,Chiquimula,San Juan Ermita,331.2889650747935,805.1012347270615,185.25282409997573,-2.5176782668141686,2.5176782668141686,2081,4369,47.63103685053788,4751.949753395974,43.79255059489668,67.3529411764706,45.588235294117645,56.47058823529412,142.17477271421188,-2.215832186277376,2.215832186277376,125.12934698978124
72,1220,San Marcos,El Quetzal,1270.1853182900556,1958.6139990011093,285.08255908545624,-2.516188803803023,2.516188803803023,3059,6127,49.92655459441815,7744.801938007059,39.49745938612293,72.6470588235294,40.0,56.3235294117647,141.7206340965526,-1.0594185874853776,1.0594185874853776,59.670193971602885
73,2009,Chiquimula,Quezaltepeque,390.3551281946055,871.4014274843901,180.2694197080044,-2.7502351931501186,2.7502351931501186,3943,9032,43.655890168290526,9664.465111033229,40.79894701568697,61.76470588235294,40.88235294117647,51.32352941176471,141.1517768249105,-2.388302694588963,2.388302694588963,122.57612358993356
74,0717,Sololá,San Juan La Laguna,853.0428054654196,1715.548639635029,334.7343296776085,-2.59527503365121,2.59527503365121,1517,5036,30.123113582208106,1912.553608036304,79.31803812587324,32.64705882352941,75.29411764705883,53.97058823529412,140.06852019852852,-1.551007466859648,1.551007466859648,83.70878534374864
75,0112,Guatemala,Chuarrancho,328.8127032259811,606.4816104080229,139.41749551678137,-2.177310729911263,2.177310729911263,1670,3776,44.22669491525424,2639.410558580046,63.27170263721416,63.23529411764706,65.29411764705883,64.26470588235294,139.9242336722385,-1.771380634047377,1.771380634047377,113.83725545275055
76,0719,Sololá,Santiago Atitlán,625.5078940874005,1200.3942866000275,236.3577700964272,-2.460578925849372,2.460578925849372,4891,19898,24.580359835159317,4633.03183668884,105.56802051883862,27.058823529411764,84.41176470588235,55.73529411764706,137.14109013189884,-1.4972175106987629,1.4972175106987629,83.44785831688692
77,1314,Huehuetenango,San Rafael La Independencia,833.6305610506137,1320.2827355018394,306.50863227097386,-1.7328401140696486,1.7328401140696486,1610,2744,58.67346938775511,2303.678220169778,69.88823290960077,87.6470588235294,70.58823529411765,79.11764705882354,137.09823255433398,-1.7126963816730216,1.7126963816730216,135.50450784413025
78,1909,Zacapa,La Unión,469.967604295715,906.120105925046,199.82655088988824,-2.1120892489878003,2.1120892489878003,5124,7689,66.6406554818572,13970.066437024374,36.67842256225814,92.64705882352942,36.76470588235294,64.70588235294119,136.66459846391652,-2.156791894508818,2.156791894508818,139.5571225858647
79,2206,Jutiapa,Yupiltepeque,606.7802622394812,963.375774089634,194.5655198343248,-1.892077096107379,1.892077096107379,2855,5728,49.84287709497207,3897.195117729519,73.25781526851816,72.35294117647058,72.05882352941177,72.20588235294117,136.61909620422398,-2.265876276319815,2.265876276319815,163.609595834269
80,0403,Chimaltenango,San Martín Jilotepeque,346.17276368886377,701.604440828034,151.6626684184607,-2.5928504818714773,2.5928504818714773,7368,16665,44.212421242124215,17795.676384169048,41.4033152825511,62.94117647058823,42.05882352941177,52.5,136.12465029825256,-1.473160862588577,1.473160862588577,77.34094528590029
81,1414,Quiché,San Andrés Sajcabajá,630.538713507427,1095.3118548792909,225.881473331266,-2.1702969283011853,2.1702969283011853,2329,4311,54.02458826258409,5401.951423918092,43.11404929870236,80.58823529411765,44.41176470588235,62.5,135.64355801882408,-1.972510797934672,1.972510797934672,123.281924870917
82,0313,Sacatepéquez,San Miguel Dueñas,470.9237521344822,975.8424810070668,178.0989055862011,-2.944301940149744,2.944301940149744,1443,5305,27.200754005655043,2355.819610118512,61.25256763302893,29.117647058823533,62.64705882352941,45.88235294117647,135.0915007833412,-1.1450521903344968,1.1450521903344968,52.53768873299456
83,1006,Suchitepéquez,Santo Domingo Suchitepéquez,685.509283283536,1382.1010709062248,273.22131149226936,-2.441568775928692,2.441568775928692,6094,11135,54.72833408172429,20120.84718412576,30.28699509634878,81.47058823529412,29.117647058823533,55.294117647058826,135.00439113958652,-1.7152377621848158,1.7152377621848158,94.84255861492512
84,0117,Guatemala,Petapa,396.8738649209823,822.7335824704712,155.46342950729655,-2.751195958218086,2.751195958218086,600,60017,0.9997167469217056,280.32494439083,214.0373206187024,0.8823529411764706,97.05882352941175,48.97058823529412,134.7276844245033,-1.2564564383674306,1.2564564383674306,61.529410878875645
